"","symbol","date","open","high","low","close","volume","adjusted"
"1","NKE",2020-07-01,98.5,98.720001,97.110001,97.400002,5733800,96.989571
"2","NKE",2020-07-02,98.779999,99.660004,98.019997,98.43,5354900,98.015228
"3","NKE",2020-07-06,99.620003,100.029999,99.040001,99.949997,4995000,99.528824
"4","NKE",2020-07-07,99.220001,99.550003,96.919998,97.07,6352900,96.660957
"5","NKE",2020-07-08,97.5,98.980003,96.959999,98.839996,5634600,98.4235
"6","NKE",2020-07-09,98.550003,98.910004,96.370003,96.989998,6282300,96.581299
"7","NKE",2020-07-10,97,98.050003,95.720001,97.989998,3967000,97.57708
"8","NKE",2020-07-13,98.25,98.940002,96.260002,96.459999,4845600,96.053535
"9","NKE",2020-07-14,96.330002,97.25,95.510002,96.760002,4850600,96.352272
"10","NKE",2020-07-15,98.410004,99.040001,97.309998,98.540001,5343700,98.124763
"11","NKE",2020-07-16,97.5,98.230003,97.040001,97.260002,3594700,96.850166
"12","NKE",2020-07-17,96.949997,97.230003,96.040001,96.279999,7405700,95.87429
"13","NKE",2020-07-20,95.5,96.349998,95.110001,95.650002,5822300,95.246948
"14","NKE",2020-07-21,96.919998,99,96.099998,98.360001,5857100,97.945526
"15","NKE",2020-07-22,98.160004,98.989998,97.910004,98.910004,4097000,98.49321
"16","NKE",2020-07-23,98.349998,100.18,97.720001,98.300003,4530500,97.88578
"17","NKE",2020-07-24,98.139999,99.360001,97.699997,98.43,5638400,98.015228
"18","NKE",2020-07-27,96.959999,98.400002,96.889999,97.209999,4273400,96.800369
"19","NKE",2020-07-28,96.949997,97.470001,96.160004,96.269997,3822600,95.864334
"20","NKE",2020-07-29,96.43,97.550003,96.300003,96.970001,6872400,96.561378
"21","NKE",2020-07-30,96.470001,97.230003,95.800003,96.82,4018400,96.412018
"22","NKE",2020-07-31,96.889999,97.650002,96.300003,97.610001,5510400,97.198685
"23","NKE",2020-08-03,98.029999,99.290001,97.82,98.330002,5472700,97.915657
"24","NKE",2020-08-04,97.790001,97.949997,96.550003,97.330002,7539300,96.919868
"25","NKE",2020-08-05,97.120003,101.25,97.080002,100.940002,7227100,100.514664
"26","NKE",2020-08-06,100.639999,101.18,100.029999,100.449997,4060900,100.026718
"27","NKE",2020-08-07,101,101.910004,99.889999,101.860001,5545000,101.430786
"28","NKE",2020-08-10,102.470001,106.830002,102.400002,105.410004,12678000,104.96582
"29","NKE",2020-08-11,106.849998,107.330002,104.860001,105.120003,5400700,104.677048
"30","NKE",2020-08-12,105.720001,105.889999,103.379997,105.220001,4714800,104.776619
"31","NKE",2020-08-13,105.300003,106.989998,105.199997,106.519997,4281700,106.071136
"32","NKE",2020-08-14,106.120003,106.779999,105.459999,106.43,2985700,105.981522
"33","NKE",2020-08-17,106.5,106.5,105.120003,105.660004,3017000,105.214767
"34","NKE",2020-08-18,106.459999,107,105.470001,106.970001,5023000,106.519249
"35","NKE",2020-08-19,107.690002,109.690002,107.349998,108.389999,9508100,107.933258
"36","NKE",2020-08-20,107.559998,108.739998,107.349998,108.010002,4304000,107.554863
"37","NKE",2020-08-21,108,109.769997,107.75,109.75,5564000,109.287529
"38","NKE",2020-08-24,110,112,109.900002,111.830002,8173100,111.358772
"39","NKE",2020-08-25,112,112.279999,111.089996,111.510002,4380900,111.040115
"40","NKE",2020-08-26,111.919998,112.089996,111.290001,111.529999,4477900,111.060036
"41","NKE",2020-08-27,111.989998,112.790001,110.5,110.839996,4390800,110.372932
"42","NKE",2020-08-28,111.010002,112.669998,110.57,112.290001,3731100,112.064537
"43","NKE",2020-08-31,112.139999,112.519997,111.139999,111.889999,3519800,111.665337
"44","NKE",2020-09-01,112,114.900002,111.830002,114.839996,4914000,114.609406
"45","NKE",2020-09-02,115.059998,117.410004,114.5,116.800003,6775400,116.565483
"46","NKE",2020-09-03,116.800003,116.900002,112,112.849998,7264400,112.623405
"47","NKE",2020-09-04,112.959999,113.75,110.209999,112.400002,5157600,112.174316
"48","NKE",2020-09-08,111.290001,113.839996,110.540001,112.720001,5300100,112.493668
"49","NKE",2020-09-09,113.019997,116.209999,112.830002,114.900002,5997900,114.669296
"50","NKE",2020-09-10,115.900002,118.230003,114,114.790001,5032800,114.559517
"51","NKE",2020-09-11,116.760002,119.25,116.419998,118,8565200,117.763069
"52","NKE",2020-09-14,118.5,119.93,118.169998,119.279999,4990300,119.040497
"53","NKE",2020-09-15,119.699997,120.480003,119.18,119.269997,5934200,119.030518
"54","NKE",2020-09-16,118.309998,119.690002,118.160004,118.589996,7023700,118.351883
"55","NKE",2020-09-17,117.339996,118.550003,115.800003,116.360001,7376400,116.126358
"56","NKE",2020-09-18,115.43,117.910004,114.489998,114.660004,12876600,114.429779
"57","NKE",2020-09-21,112.949997,114.059998,111.739998,113.370003,8486400,113.142365
"58","NKE",2020-09-22,113.099998,117.199997,112.849998,116.870003,13007200,116.635338
"59","NKE",2020-09-23,130.220001,130.380005,125.260002,127.110001,37822700,126.854774
"60","NKE",2020-09-24,126.440002,127.540001,123.300003,124.75,13485800,124.499512
"61","NKE",2020-09-25,123.650002,124.75,122.269997,124.230003,9182800,123.98056
"62","NKE",2020-09-28,125.160004,126.190002,123.889999,124.32,7525000,124.070381
"63","NKE",2020-09-29,124.339996,127.099998,123.959999,126.349998,7796400,126.096298
"64","NKE",2020-09-30,126.099998,127.279999,125.160004,125.540001,8698000,125.287926
"65","NKE",2020-10-01,127.730003,127.730003,125.309998,126.639999,5637200,126.385719
"66","NKE",2020-10-02,124.349998,126.800003,123.589996,126.639999,7491100,126.385719
"67","NKE",2020-10-05,127.07,128.5,126.449997,127.910004,8270300,127.653175
"68","NKE",2020-10-06,128.839996,130.440002,127.269997,127.650002,5978000,127.393692
"69","NKE",2020-10-07,128.399994,130.410004,128.25,130.059998,4390500,129.798843
"70","NKE",2020-10-08,130.399994,130.929993,129.509995,129.710007,3595600,129.449554
"71","NKE",2020-10-09,129.990005,131.190002,129.330002,130.979996,4293400,130.716995
"72","NKE",2020-10-12,131.190002,131.339996,129.259995,129.460007,5136500,129.200058
"73","NKE",2020-10-13,128.050003,129.869995,127.959999,129.199997,4245000,128.940582
"74","NKE",2020-10-14,129.529999,129.600006,127.010002,127.660004,3587300,127.403671
"75","NKE",2020-10-15,126.480003,129.100006,126.110001,129,4235800,128.740982
"76","NKE",2020-10-16,129.509995,130.190002,127.550003,128,6010900,127.742989
"77","NKE",2020-10-19,129.100006,129.779999,127.050003,127.43,5160800,127.174133
"78","NKE",2020-10-20,128,129.899994,127.720001,128.490005,3799200,128.23201
"79","NKE",2020-10-21,128.5,131.380005,128.449997,129.429993,4916300,129.170105
"80","NKE",2020-10-22,129.600006,130.259995,128.860001,130.020004,2869900,129.758942
"81","NKE",2020-10-23,130,130.600006,128.649994,129.990005,4046300,129.729004
"82","NKE",2020-10-26,129.059998,129.619995,126.68,128.369995,5422500,128.112244
"83","NKE",2020-10-27,128.779999,129.490005,127.900002,127.989998,2985700,127.733009
"84","NKE",2020-10-28,125.279999,126.400002,121.040001,122.080002,8618300,121.834877
"85","NKE",2020-10-29,122.279999,124.190002,121.150002,122.860001,4947000,122.613312
"86","NKE",2020-10-30,123.660004,123.660004,118.800003,120.080002,7791600,119.83889
"87","NKE",2020-11-02,122.370003,124.099998,121.099998,122.389999,4740400,122.144249
"88","NKE",2020-11-03,124.010002,125.5,123.190002,124.589996,3490900,124.339828
"89","NKE",2020-11-04,125.330002,128.929993,125.260002,127.339996,5061800,127.084312
