"","symbol","date","adjusted","macd","signal","diff"
"1","NKE",2020-07-01,96.989571,NA,NA,NA
"2","NKE",2020-07-02,98.015228,NA,NA,NA
"3","NKE",2020-07-06,99.528824,NA,NA,NA
"4","NKE",2020-07-07,96.660957,NA,NA,NA
"5","NKE",2020-07-08,98.4235,NA,NA,NA
"6","NKE",2020-07-09,96.581299,NA,NA,NA
"7","NKE",2020-07-10,97.57708,NA,NA,NA
"8","NKE",2020-07-13,96.053535,NA,NA,NA
"9","NKE",2020-07-14,96.352272,NA,NA,NA
"10","NKE",2020-07-15,98.124763,NA,NA,NA
"11","NKE",2020-07-16,96.850166,NA,NA,NA
"12","NKE",2020-07-17,95.87429,NA,NA,NA
"13","NKE",2020-07-20,95.246948,NA,NA,NA
"14","NKE",2020-07-21,97.945526,NA,NA,NA
"15","NKE",2020-07-22,98.49321,NA,NA,NA
"16","NKE",2020-07-23,97.88578,NA,NA,NA
"17","NKE",2020-07-24,98.015228,NA,NA,NA
"18","NKE",2020-07-27,96.800369,NA,NA,NA
"19","NKE",2020-07-28,95.864334,NA,NA,NA
"20","NKE",2020-07-29,96.561378,NA,NA,NA
"21","NKE",2020-07-30,96.412018,NA,NA,NA
"22","NKE",2020-07-31,97.198685,NA,NA,NA
"23","NKE",2020-08-03,97.915657,NA,NA,NA
"24","NKE",2020-08-04,96.919868,NA,NA,NA
"25","NKE",2020-08-05,100.514664,NA,NA,NA
"26","NKE",2020-08-06,100.026718,0.308689783356519,NA,NA
"27","NKE",2020-08-07,101.430786,0.383960037492281,NA,NA
"28","NKE",2020-08-10,104.96582,0.712657907714687,NA,NA
"29","NKE",2020-08-11,104.677048,1.0754538264315,NA,NA
"30","NKE",2020-08-12,104.776619,1.43044811382187,NA,NA
"31","NKE",2020-08-13,106.071136,1.99017364902703,NA,NA
"32","NKE",2020-08-14,105.981522,2.41055981272358,NA,NA
"33","NKE",2020-08-17,105.214767,2.8462717333267,NA,NA
"34","NKE",2020-08-18,106.519249,3.21003031043023,1.59647168603604,1.61355862439419
"35","NKE",2020-08-19,107.933258,3.584502123791,1.96045083497321,1.62405128881779
"36","NKE",2020-08-20,107.554863,4.09238857567098,2.3724984503264,1.71989012534458
"37","NKE",2020-08-21,109.287529,4.32320882813442,2.77367077481748,1.54953805331694
"38","NKE",2020-08-24,111.358772,4.64115870347288,3.16986020559985,1.47129849787303
"39","NKE",2020-08-25,111.040115,4.80275023199264,3.54456044095216,1.25818979104047
"40","NKE",2020-08-26,111.060036,4.78251997678234,3.85482114403609,0.927698832746255
"41","NKE",2020-08-27,110.372932,4.7785392927679,4.11792997515212,0.660609317615782
"42","NKE",2020-08-28,112.064537,4.80290749377534,4.3353339485353,0.46757354524004
"43","NKE",2020-08-31,111.665337,4.71208350854841,4.50222874832621,0.209854760222202
"44","NKE",2020-09-01,114.609406,4.70335413607337,4.62654563857981,0.0768084974935581
"45","NKE",2020-09-02,116.565483,4.79906828301195,4.70506560606214,0.0940026769498141
"46","NKE",2020-09-03,112.623405,4.65846236695193,4.74231599926409,-0.0838536323121533
"47","NKE",2020-09-04,112.174316,4.38551177040212,4.71391078447845,-0.328399014076328
"48","NKE",2020-09-08,112.493668,4.18708442765543,4.64550347288542,-0.458419045229991
